iter	RMSE
0	14.98254577
1	13.64507273
2	12.45006921
3	11.42507573
4	10.6497676
5	9.999946501
6	9.348651175
7	8.803800106
8	8.420006615
9	8.032408761
10	7.630187516
11	7.234860985
12	6.926238772
13	6.583271088
14	6.235647261
15	5.971359123
16	5.780895431
17	5.567762921
18	5.341175327
19	5.195346313
20	5.024339802
21	4.8684061
22	4.749675377
23	4.629823119
24	4.503588603
25	4.383157099
26	4.299057371
27	4.229177186
28	4.132538361
29	4.025114752
30	3.949596003
31	3.891322926
32	3.804755264
33	3.746749033
34	3.692942803
35	3.653929307
36	3.627579277
37	3.533775303
38	3.451410153
39	3.394484119
40	3.323448491
41	3.30208
42	3.232845606
43	3.17649358
44	3.158686563
45	3.108827289
46	3.006258642
47	2.984523894
48	2.970126538
49	2.955883323
50	2.943932893
51	2.905868362
52	2.896326637
53	2.871795681
54	2.813176151
55	2.806456093
56	2.715516609
57	2.708816995
58	2.6781316
59	2.615402108
60	2.576747305
61	2.53174225
62	2.48066924
63	2.437130708
64	2.429547888
65	2.40679396
66	2.354303739
67	2.313996483
68	2.267386393
69	2.257660464
70	2.221079845
71	2.187173967
72	2.165433732
73	2.131535571
74	2.102023885
75	2.060054878
76	2.043861606
77	2.003924075
78	1.995014014
79	1.974674501
80	1.962728637
81	1.959326788
82	1.941304754
83	1.910319562
84	1.879556062
85	1.856366764
86	1.850669337
87	1.834654741
88	1.803151485
89	1.785681741
90	1.752233358
91	1.731238727
92	1.704870248
93	1.678158912
94	1.671820427
95	1.65243387
96	1.635570919
97	1.623375289
98	1.607857228
99	1.593633557
100	1.57829845
101	1.570278774
102	1.564350269
103	1.550855954
104	1.538059106
105	1.529439475
106	1.52587116
107	1.5099273
108	1.493687887
109	1.466676107
110	1.452847687
111	1.439902289
112	1.425211025
113	1.398390202
114	1.394751793
115	1.38077646
116	1.378969628
117	1.363796671
118	1.352243002
119	1.338245334
120	1.325554957
121	1.310918589
122	1.294436714
123	1.278799971
124	1.27012154
125	1.258380792
126	1.245828046
127	1.233404435
128	1.225078166
129	1.224020792
130	1.215187256
131	1.206591498
132	1.189112019
133	1.178419969
134	1.167903409
